,Open,High,Low,Volume,increase
983,6586.740234000001,6586.740234000001,6243.740234000001,5181640000.0,False
984,6239.25,6328.5,6236.470215,3783500000.0,True
985,6278.080078,6308.509765999999,6259.810059,3064030000.0,True
986,6288.490234000001,6363.209961,6280.149902,3085320000.0,True
987,6292.640136999999,6965.060059,6258.680176,7370770000.0,True
988,6601.410156,6673.589844,6571.370117,4074800000.0,False
989,6590.52002,6601.209961,6517.450195,4088420000.0,False
990,6542.330078,6567.540039,6450.040039,3924080000.0,False
991,6478.069824,6493.680176,6445.310059,3578870000.0,False
992,6460.919922,6497.720215,6449.0,3379130000.0,True
993,6490.089844,6556.379883,6476.0,3253610000.0,False
994,6486.049805,6543.799805,6462.97998,3672860000.0,True
995,6472.359863000001,6506.009765999999,6451.27002,3716150000.0,True
996,6478.890136999999,6521.990234000001,6468.859863000001,3424670000.0,True
997,6484.649902,6504.649902,6447.029785,3230550000.0,False
998,6468.439941,6498.290039,6449.609863000001,3306050000.0,True
999,6480.839844,6507.410156,6453.529785,3393250000.0,False
1000,6482.660156,6502.279785,6447.910156,3445190000.0,True
1001,6492.350098,6503.600098,6306.990234000001,4199910000.0,False
1002,6337.040039,6364.990234000001,6310.140136999999,3781100000.0,False
1003,6336.990234000001,6349.160156,6316.879883,4191240000.0,False
1004,6318.140136999999,6547.140136999999,6311.830078,3789400000.0,True
1005,6378.919922,6396.859863000001,6327.379883,4234870000.0,True
1006,6387.240234000001,6400.069824,6342.370117,3658640000.0,False
1007,6365.470215,6388.629883,6294.569824,4390020000.0,True
1008,6363.620117,6480.589844,6363.620117,4174800000.0,True
1009,6433.379883,6463.549805,6408.160156,4700040000.0,True
1010,6468.5,6552.160156,6468.310059,4941260000.0,True
1011,6522.27002,6536.919922,6438.529785,4665260000.0,False
1012,6442.600098,6456.459961,6373.370117,4346820000.0,False
1013,6386.129883,6437.279785,6385.310059,3705320000.0,True
1014,6413.629883,6423.25,6350.169922,3939060000.0,False
1015,6411.759765999999,6434.209961,6360.470215,4295770000.0,False
1016,6373.189941,6395.27002,6342.669922,4503800000.0,False
1017,6351.240234000001,6371.549805,5544.089844,7398940000.0,False
1018,5736.149902,5774.819824,5358.379883,7032140000.0,False
1019,5645.319824,5657.02002,5498.939941,5279320000.0,False
1020,5578.580078,5578.580078,5519.560059,4303150000.0,False
1021,5559.740234000001,5653.609863000001,5559.740234000001,4159680000.0,True
1022,5620.779785,5620.779785,4842.910156,7039560000.0,False
1023,4863.930176,4951.609863000001,4272.109863000001,8428290000.0,False
1024,4465.540039,4675.72998,4343.97998,6120120000.0,True
1025,4611.569824,4629.640136999999,4365.640136999999,4569370000.0,False
1026,4360.700195,4396.419922,4195.680176,4871490000.0,False
1027,4347.689941,4413.089844,3795.1599119999996,4679500000.0,False
1028,3880.780029,4120.870117,3585.0600590000004,6825640000.0,True
1029,4015.070068,4107.140136999999,3643.919922,6476900000.0,False
1030,3765.9499509999996,3862.959961,3661.01001,5998720000.0,True
1031,3822.469971,4385.899902,3822.469971,7280280000.0,True
1032,4269.004395,4413.020508,4145.765136999999,6503347767.0,True
1033,4289.088867,4322.976563,3942.822021,6048016717.0,False
1034,4024.4643549999996,4309.377441,3969.710693,5375314093.0,True
1035,4200.733397999999,4301.519531,4110.978515999999,5262697895.0,False
1036,4147.32373,4155.979492,3840.446289,5089570994.0,False
1037,3886.294922,4075.627686,3832.75,5028069239.0,True
1038,3958.894775,3969.535889,3753.9948729999996,5302481574.0,False
1039,3754.0744630000004,3874.966064,3521.101807,5878333109.0,False
1040,3512.590332,3512.590332,3280.22876,6835615448.0,False
1041,3421.9104,3506.043457,3350.650635,5305024497.0,True
1042,3473.227539,3685.305664,3469.094238,4947372847.0,True
1043,3612.046387,3647.3325200000004,3470.1445310000004,5020968740.0,False
1044,3497.554688,3513.1850590000004,3392.25,4696765188.0,False
1045,3421.4582520000004,3534.2285159999997,3413.4814450000003,4139364829.0,True
1046,3487.8793950000004,3489.7395020000004,3298.13208,4343372456.0,False
1047,3311.751953,3329.555908,3206.542236,4372763663.0,False
1048,3243.997559,3275.37793,3191.303467,3551763561.0,False
1049,3236.274658,3305.753174,3233.8198239999997,3744248994.0,True
1050,3253.123047,3597.9179689999996,3253.123047,5409247918.0,True
1051,3544.761475,3701.349365,3487.169189,5911325473.0,True
1052,3706.8249509999996,3949.3229979999996,3687.2299799999996,6810689119.0,True
1053,3742.195068,4191.228515999999,3728.9746090000003,8927129279.0,True
1054,4133.703613000001,4198.429688,3850.946289,7206015706.0,False
1055,3898.08374,4014.1826170000004,3855.739014,5605823233.0,True
1056,4020.994629,4085.7236329999996,3976.405762,6151275490.0,False
